epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
217,9751.99,0.0612,0.97685,0.99963,1.39799,0.002872,0.002872,0.002872
218,9795.23,0.0523,0.97685,0.99963,1.39755,0.002839,0.002839,0.002839
219,9838,0.05985,0.97685,0.99963,1.39826,0.002806,0.002806,0.002806
220,9881.09,0.05672,0.97721,0.99963,1.39773,0.002773,0.002773,0.002773
221,9923.67,0.05331,0.97721,0.99963,1.39817,0.00274,0.00274,0.00274
222,9966.48,0.05216,0.97721,0.99963,1.39808,0.002707,0.002707,0.002707
223,10009.4,0.0578,0.97721,0.99963,1.39826,0.002674,0.002674,0.002674
224,10052.4,0.05128,0.97721,0.99926,1.39782,0.002641,0.002641,0.002641
225,10095,0.05353,0.97721,0.99926,1.39773,0.002608,0.002608,0.002608
226,10138.3,0.05277,0.97685,0.99926,1.39799,0.002575,0.002575,0.002575
227,10181.1,0.05026,0.97685,0.99926,1.39755,0.002542,0.002542,0.002542
228,10224.2,0.05076,0.97685,0.99963,1.39773,0.002509,0.002509,0.002509
229,10266.7,0.04873,0.97685,0.99963,1.39844,0.002476,0.002476,0.002476
230,10309.4,0.05228,0.97685,0.99963,1.39808,0.002443,0.002443,0.002443
231,10353.8,0.05303,0.97721,0.99963,1.39773,0.00241,0.00241,0.00241
232,10397.2,0.04966,0.97721,0.99963,1.39835,0.002377,0.002377,0.002377
233,10441.3,0.04731,0.97685,0.99963,1.39799,0.002344,0.002344,0.002344
234,10483.5,0.05418,0.97721,0.99963,1.39755,0.002311,0.002311,0.002311
235,10526.8,0.05121,0.97721,0.99963,1.39764,0.002278,0.002278,0.002278
236,10570,0.05019,0.97721,0.99963,1.3979,0.002245,0.002245,0.002245
237,10613.5,0.04763,0.97721,0.99963,1.39693,0.002212,0.002212,0.002212
238,10657,0.04988,0.97721,0.99963,1.39799,0.002179,0.002179,0.002179
239,10700.3,0.04345,0.97721,0.99963,1.39728,0.002146,0.002146,0.002146
240,10743.6,0.04486,0.97795,0.99963,1.39773,0.002113,0.002113,0.002113
241,10787.2,0.04326,0.97758,0.99963,1.39773,0.00208,0.00208,0.00208
242,10830.1,0.04583,0.97795,0.99963,1.39782,0.002047,0.002047,0.002047
243,10874.2,0.03916,0.97795,0.99963,1.39702,0.002014,0.002014,0.002014
244,10918,0.04534,0.97795,0.99963,1.3979,0.001981,0.001981,0.001981
245,10960.7,0.04539,0.97832,1,1.39737,0.001948,0.001948,0.001948
246,11004.4,0.04407,0.97832,1,1.39737,0.001915,0.001915,0.001915
247,11047.8,0.04084,0.97832,1,1.3979,0.001882,0.001882,0.001882
248,11090.7,0.04453,0.97832,1,1.39737,0.001849,0.001849,0.001849
249,11133.6,0.04144,0.97832,1,1.39746,0.001816,0.001816,0.001816
250,11177,0.04001,0.97832,1,1.39711,0.001783,0.001783,0.001783
